description;wnid
defense logistics agency;n08341330
defense reutilization and marketing service;n08341551
drms;n08341551
defense technical information center;n08341798
dtic;n08341798
international intelligence agency;n08342039
canadian security intelligence service;n08342419
csis;n08342419
central intelligence machinery;n08342670
cim;n08342670
communications security establishment;n08342888
cse;n08342888
criminal intelligence services of canada;n08343102
cisc;n08343102
department of justice canada;n08343324
dojc;n08343324
directorate for inter-services intelligence;n08343534
inter-services intelligence;n08343534
isi;n08343534
foreign intelligence service;n08343905
sluzhba vneshney razvedki;n08343905
svr;n08343905
international relations and security network;n08344301
isn;n08344301
international law enforcement agency;n08344551
interpol;n08344756
iraqi intelligence service;n08344917
iis;n08344917
iraqi mukhabarat;n08344917
republican guard;n08345189
haganah;n08345366
israeli defense force;n08345613
idf;n08345613
sayeret matkal;n08345770
sayeret mat'kal;n08345770
sayeret;n08345770
special air service;n08346031
sas;n08346031
a'man;n08346286
mossad;n08346490
secret intelligence service;n08346655
mi;n08346655
military intelligence section 6;n08346655
security intelligence review committee;n08346905
sirc;n08346905
security service;n08347206
mi;n08347206
military intelligence section 5;n08347206
shin bet;n08347457
general security services;n08347457
national reconnaissance office;n08347704
nro;n08347704
national security agency;n08348091
nsa;n08348091
united states secret service;n08348400
us secret service;n08348400
usss;n08348400
secret service;n08348400
ss;n08348400
law enforcement agency;n08348815
occupational safety and health administration;n08349138
osha;n08349138
organ;n08349350
admiralty;n08349548
patent and trademark office database;n08349681
patent office;n08349681
central bank;n08349916
european central bank;n08350244
federal reserve system;n08350470
federal reserve;n08350470
fed;n08350470
frs;n08350470
federal reserve bank;n08350919
reserve bank;n08350919
federal trade commission;n08351107
ftc;n08351107
office of inspector general;n08351380
oig;n08351380
general services administration;n08351532
gsa;n08351532
federal protective service;n08351777
fps;n08351777
bank of england;n08352035
bundesbank;n08352134
bank of japan;n08352218
office;n08352303
office staff;n08352303
research staff;n08352473
sales staff;n08352613
security staff;n08352720
service staff;n08352848
maintenance staff;n08352848
small business administration;n08352994
sba;n08352994
redevelopment authority;n08353244
regulatory agency;n08353406
regulatory authority;n08353406
selective service;n08353563
selective service system;n08353563
sss;n08353563
weather bureau;n08353734
advertising agency;n08353912
ad agency;n08353912
credit bureau;n08354065
detective agency;n08354243
employment agency;n08354352
employment office;n08354352
placement office;n08354523
placement center;n08354523
hiring hall;n08354678
mercantile agency;n08354842
commercial agency;n08354842
news agency;n08355075
press agency;n08355075
wire service;n08355075
press association;n08355075
news organization;n08355075
news organisation;n08355075
syndicate;n08355324
service agency;n08355506
service bureau;n08355506
service firm;n08355506
travel agency;n08355692
united states government;n08355791
united states;n08355791
u.s. government;n08355791
us government;n08355791
u.s.;n08355791
executive branch;n08356074
executive office of the president;n08356074
legislative branch;n08356375
united states government printing office;n08356573
us government printing office;n08356573
government printing office;n08356573
gpo;n08356573
judicial branch;n08356903
capital;n08357129
washington;n08357129
civil service;n08357258
whitehall;n08357448
county council;n08357529
diplomatic service;n08357647
diplomatic corps;n08357647
corps diplomatique;n08357647
government officials;n08357784
officialdom;n08357784
quorum;n08357992
minyan;n08358165
rally;n08358332
mass meeting;n08358332
pep rally;n08358492
cell;n08358594
cadre;n08358594
sleeper cell;n08358824
terrorist cell;n08358963
radical cell;n08358963
operational cell;n08359316
intelligence cell;n08359432
auxiliary cell;n08359581
fifth column;n08359753
trojan horse;n08359753
political unit;n08359949
political entity;n08359949
amphictyony;n08360248
lunatic fringe;n08360430
revolutionary group;n08360540
underground;n08360672
resistance;n08360672
maquis;n08360849
autocracy;n08361001
autarchy;n08361001
constitutionalism;n08361172
democracy;n08361329
republic;n08361329
commonwealth;n08361329
diarchy;n08361612
dyarchy;n08361612
gerontocracy;n08361720
gynecocracy;n08361817
gynarchy;n08361817
hegemony;n08361924
mobocracy;n08362302
ochlocracy;n08362302
oligarchy;n08362455
plutocracy;n08362775
republic;n08362917
technocracy;n08363106
theocracy;n08363428
hierocracy;n08363622
parliamentary democracy;n08363711
monarchy;n08363812
parliamentary monarchy;n08364044
capitalism;n08364143
capitalist economy;n08364143
venture capitalism;n08364367
black economy;n08364548
industrialism;n08364757
market economy;n08364959
free enterprise;n08364959
private enterprise;n08364959
laissez-faire economy;n08364959
mixed economy;n08365222
non-market economy;n08365344
state capitalism;n08365484
state socialism;n08365672
communism;n08365855
international;n08366071
socialism;n08366202
socialist economy;n08366202
nazism;n08366440
naziism;n08366440
national socialism;n08366440
falange;n08366664
economy;n08366753
economic system;n08366753
managed economy;n08367100
mercantilism;n08367339
mercantile system;n08367339
communist economy;n08367579
pluralism;n08367683
political system;n08367880
form of government;n08367880
bolshevism;n08368308
collectivism;n08368308
sovietism;n08368308
revisionism;n08368516
revisionism;n08368631
ecosystem;n08368757
generation;n08368907
posterity;n08369142
descendants;n08369220
posterity;n08369220
coevals;n08369406
contemporaries;n08369406
generation;n08369406
beat generation;n08369615
beats;n08369615
beatniks;n08369615
beatles;n08369920
teddy boys;n08370204
punks;n08370505
rockers;n08370878
bikers;n08370878
skinheads;n08371200
bootboys;n08371200
mods;n08371574
baby boom;n08371838
baby-boom generation;n08371838
generation x;n08372020
gen x;n08372020
peer group;n08372190
moiety;n08372299
tribe;n08372411
folk;n08372411
totem;n08372574
tableau;n08372715
tableau vivant;n08372715
tribes of israel;n08372847
twelve tribes of israel;n08372847
lost tribes;n08373055
venation;n08373244
vernation;n08373380
combination;n08373544
combination;n08373723
fibonacci sequence;n08373818
phyle;n08373969
colony;n08374049
settlement;n08374049
frontier settlement;n08374653
outpost;n08374653
plantation;n08374773
proprietary colony;n08375031
commonwealth;n08375154
commune;n08375369
lobby;n08375526
pressure group;n08375526
third house;n08375526
national rifle association;n08375722
nra;n08375722
lobby;n08375912
hierarchy;n08376051
power structure;n08376051
pecking order;n08376051
chain;n08376250
concatenation;n08376250
catena;n08376526
daisy chain;n08376823
cordon;n08376948
course;n08377085
line;n08377085
cycle;n08377332
electromotive series;n08377454
electromotive force series;n08377454
electrochemical series;n08377454
hierarchy;n08377806
celestial hierarchy;n08378066
data hierarchy;n08378180
taxonomy;n08378356
class structure;n08378555
caste system;n08378698
social organization;n08378819
social organisation;n08378819
social structure;n08378819
social system;n08378819
structure;n08378819
racial segregation;n08379353
petty apartheid;n08379455
de facto segregation;n08379630
de jure segregation;n08379782
purdah;n08379882
sex segregation;n08379882
ulema;n08380017
ulama;n08380017
segregation;n08380340
separatism;n08380340
white separatism;n08380606
directorate;n08380768
board of directors;n08380768
staggered board of directors;n08380975
management;n08381165
house;n08381296
leadership;n08381436
leaders;n08381436
advisory board;n08381636
planning board;n08381636
cabinet;n08381820
british cabinet;n08382056
shadow cabinet;n08382297
united states cabinet;n08382570
us cabinet;n08382570
draft board;n08383067
kashag;n08383185
stock company;n08383310
joint-stock company;n08383417
closed corporation;n08383690
close corporation;n08383690
private corporation;n08383690
privately held corporation;n08383690
family business;n08383909
closely held corporation;n08384041
shell corporation;n08384201
shell entity;n08384201
federal deposit insurance corporation;n08384342
fdic;n08384342
federal home loan mortgage corporation;n08384539
freddie mac;n08384539
fhlmc;n08384539
federal national mortgage association;n08384738
fannie mae;n08384738
fnma;n08384738
conventicle;n08384900
date;n08385009
appointment;n08385009
engagement;n08385009
visit;n08385280
blind date;n08385490
double date;n08385602
tryst;n08385717
rendezvous;n08385717
luncheon meeting;n08385849
lunch meeting;n08385849
power breakfast;n08385989
revival;n08386143
revival meeting;n08386143
argosy;n08386280
upper class;n08386365
upper crust;n08386365
elite;n08386555
elite group;n08386555
chosen;n08386853
elect;n08386853
cream;n08387035
pick;n08387035
gentry;n08387213
aristocracy;n08387213
intelligentsia;n08387354
clerisy;n08387354
culturati;n08387495
literati;n08387603
landed gentry;n08387685
squirearchy;n08387685
ruling class;n08387806
people in power;n08387806
society;n08387930
high society;n08387930
beau monde;n08387930
smart set;n08387930
bon ton;n08387930
few;n08388074
nobility;n08388207
aristocracy;n08388207
noblesse;n08388503
peerage;n08388636
baronage;n08388636
baronetage;n08388783
knighthood;n08388871
samurai;n08388966
ninja;n08389094
artillery;n08389297
artillery unit;n08389297
musketry;n08389438
battery;n08389572
cavalry;n08389710
horse cavalry;n08389900
mechanized cavalry;n08390012
infantry;n08390157
foot;n08390157
paratroops;n08390374
militia;n08390511
reserves;n08390511
militia;n08390731
home guard;n08391021
territorial;n08391206
territorial reserve;n08391206
national guard;n08391387
home reserve;n08391387
national guard bureau;n08391696
ngb;n08391696
territorial army;n08391953
terrorist organization;n08392137
terrorist group;n08392137
foreign terrorist organization;n08392137
fto;n08392137
standing army;n08394423
union army;n08394535
confederate army;n08394657
army of the confederacy;n08394657
continental army;n08394811
united states army;n08394922
us army;n08394922
u. s. army;n08394922
army;n08394922
usa;n08394922
united states army rangers;n08395298
united states military academy;n08395465
us military academy;n08395465
army intelligence;n08395682
ai;n08395682
ballistic missile defense organization;n08395991
bmdo;n08395991
defense information systems agency;n08396207
disa;n08396207
national geospatial-intelligence agency;n08396537
nga;n08396537
casualty care research center;n08396760
ccrc;n08396760
army national guard;n08396990
arng;n08396990
military personnel;n08397255
soldiery;n08397255
troops;n08397255
friendly;n08397489
hostile;n08397675
cavalry;n08397856
horse cavalry;n08397856
horse;n08397856
garrison;n08398036
rank and file;n08398179
rank;n08398179
coven;n08398467
sabbat;n08398580
witches' sabbath;n08398580
assortment;n08398773
mixture;n08398773
mixed bag;n08398773
miscellany;n08398773
miscellanea;n08398773
variety;n08398773
salmagundi;n08398773
smorgasbord;n08398773
potpourri;n08398773
motley;n08398773
grab bag;n08399287
witches' brew;n08399378
witches' broth;n08399378
witch's brew;n08399378
range;n08399586
selection;n08399818
odds and ends;n08399977
oddments;n08399977
melange;n08399977
farrago;n08399977
ragbag;n08399977
